Time,Bovenetiket AH stickernummer spoor 1,Bovenetiket AH stickernummer spoor 2,Barcode spoor 1,Barcode spoor 2,Onderetiket AH THT spoor 1,Onderetiket AH THT spoor 2,Type cup spoor 1,Type cup spoor 2,Uitlijning folie spoor 1,Uitlijning folie spoor 2,Doos print,Aantal verpakking,Aantal doos
2024-08-07 02:01:50,OK,OK,NG,NG,OK,OK,NG,NG,OK,OK,OK,97,12
2024-08-07 02:03:40,OK,OK,NG,NG,OK,OK,NG,NG,OK,OK,OK,194,24
2024-08-07 02:05:30,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,291,36
2024-08-07 02:07:20,OK,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,388,48
2024-08-07 02:09:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,485,60
2024-08-07 02:11:00,NG,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,582,72
2024-08-07 02:12:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,679,84
2024-08-07 02:14:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,776,96
2024-08-07 02:16:30,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,873,108
2024-08-07 02:18:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,970,120
2024-08-07 02:20:10,OK,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,1067,132
2024-08-07 02:22:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1164,144
2024-08-07 02:23:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1261,156
2024-08-07 02:25:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1358,168
2024-08-07 02:27:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1455,180
2024-08-07 02:29:20,NG,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1552,192
2024-08-07 02:31:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1649,204
2024-08-07 02:33:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1746,216
2024-08-07 02:34:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1843,228
2024-08-07 02:36:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1940,240
2024-08-07 02:38:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2037,252
2024-08-07 02:40:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2134,264
2024-08-07 02:42:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2231,276
2024-08-07 02:44:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2328,288
2024-08-07 02:45:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2425,300
2024-08-07 02:47:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2522,312
2024-08-07 02:49:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2619,324
2024-08-07 02:51:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2716,336
2024-08-07 02:53:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2813,348
2024-08-07 02:55:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2910,360
2024-08-07 02:56:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3007,372
2024-08-07 02:58:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,3104,384
2024-08-07 03:00:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NG,3201,396
2024-08-07 03:02:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3298,408
2024-08-07 03:04:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3395,420
2024-08-07 03:06:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3492,432
2024-08-07 03:07:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3589,444
2024-08-07 03:09:40,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,OK,3686,456
2024-08-07 03:11:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3783,468
2024-08-07 03:13:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3880,480
2024-08-07 03:15:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,3977,492
2024-08-07 03:17:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4074,504
2024-08-07 03:18:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4171,516
2024-08-07 03:20:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4268,528
2024-08-07 03:22:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4365,540
2024-08-07 03:24:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4462,552
2024-08-07 03:26:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4559,564
2024-08-07 03:28:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4656,576
2024-08-07 03:29:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4753,588
2024-08-07 03:31:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4850,600
2024-08-07 03:33:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,4947,612
2024-08-07 03:35:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5044,624
2024-08-07 03:37:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5141,636
2024-08-07 03:39:00,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,OK,5238,648
2024-08-07 03:40:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5335,660
2024-08-07 03:42:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5432,672
2024-08-07 03:44:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5529,684
2024-08-07 03:46:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5626,696
2024-08-07 03:48:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5723,708
2024-08-07 03:50:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5820,720
2024-08-07 03:51:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5917,732
2024-08-07 03:53:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6014,744
2024-08-07 03:55:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6111,756
2024-08-07 03:57:20,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK,6208,768
2024-08-07 03:59:10,OK,OK,OK,OK,OK,OK,OK,OK,NG,NG,OK,6305,780
2024-08-07 04:01:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6402,792
2024-08-07 04:02:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6499,804
2024-08-07 04:04:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6596,816
2024-08-07 04:06:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6693,828
2024-08-07 04:08:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6790,840
2024-08-07 04:10:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6887,852
2024-08-07 04:12:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6984,864
2024-08-07 04:13:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7081,876
2024-08-07 04:15:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7178,888
2024-08-07 04:17:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7275,900
2024-08-07 04:19:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7372,912
2024-08-07 04:21:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7469,924
2024-08-07 04:23:00,OK,OK,OK,OK,OK,NG,OK,OK,OK,OK,OK,7566,936
2024-08-07 04:24:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7663,948
2024-08-07 04:26:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7760,960
2024-08-07 04:28:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7857,972
2024-08-07 04:30:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,7954,984
2024-08-07 04:32:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8051,996
2024-08-07 04:34:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8148,1008
2024-08-07 04:35:50,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8245,1020
2024-08-07 04:37:40,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8342,1032
2024-08-07 04:39:30,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8439,1044
2024-08-07 04:41:20,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8536,1056
2024-08-07 04:43:10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8633,1068
2024-08-07 04:45:00,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,8730,1080
